"","text","conversation_id","in_reply_to_user_id","author_id","reply_settings","possibly_sensitive","lang","created_at.x","id","verified","location","profile_image_url","username","description","created_at.y","name","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","pinned_tweet_id","text_with_display_links"
"1","Not all oil spills are the same. And experts haven't seen one like the disaster in the East China Sea before, writes @alexismadrigal . ","954851665794031622",NA,"535378373","everyone",FALSE,"en",2018-01-20 23:02:32,"954851665794031622",FALSE,NA,"https://pbs.twimg.com/profile_images/378800000265107378/b73acc47c4cfa9f9e91217ec2c42a152_normal.jpeg","jdmoore45","Liberal, UK Football, Duke Basketball, Carolina Panthers, Cincinnati Reds, Border Collie lover, Resistance","2012-03-24T14:12:05.000Z","Jim Moore",FALSE,0,0,0,0,0,"01686caa11f87b5e",2772,3731,69400,41,NA,NA,"Not all oil spills are the same. And experts haven't seen one like the disaster in the East China Sea before, writes @alexismadrigal https://t.co/yFVCwqFuJt"
"2","#ignorantbho How ignorant is he?  During oil spill in the gulf, he kept threatening BP while the oil is gushing out. He did not visit the site, did not offer to help find solution n continued to play golf. He expected BP to fix it alone. When disaster happened, you help first.. ","992116719446523904",NA,"778355924","everyone",FALSE,"en",2018-05-03 19:00:33,"992116719446523904",FALSE,"Treasure Island, FL","https://pbs.twimg.com/profile_images/2670250529/f7bd106f59dc6866310d9c8983be8666_normal.jpeg","sangkavasis","Embrace friends and family who make you happy and become better. Stay away from things and angry people who make you down and upset. Never forget your root.","2012-08-24T14:59:45.000Z","Sans Sangkavasi",FALSE,1,0,0,0,0,"75558b90d6ec7e4e",69,82,12093,0,NA,NA,"#ignorantbho How ignorant is he?  During oil spill in the gulf, he kept threatening BP while the oil is gushing out. He did not visit the site, did not offer to help find solution n continued to play golf. He expected BP to fix it alone. When disaster happened, you help first."
"3","#ignorantBHO how ignorant was he? His followers drank his Kool Aid everyday. When economy was bad, he blamed Bush. When oil spilled in the gulf, he played golf and screamed at BP to fix and would hold BP for damage while millions of oil spilling instead of helping resolve! Sigh!!. ","1015553920184324097",NA,"778355924","everyone",FALSE,"en",2018-07-07 11:11:37,"1015553920184324097",FALSE,"Treasure Island, FL","https://pbs.twimg.com/profile_images/2670250529/f7bd106f59dc6866310d9c8983be8666_normal.jpeg","sangkavasis","Embrace friends and family who make you happy and become better. Stay away from things and angry people who make you down and upset. Never forget your root.","2012-08-24T14:59:45.000Z","Sans Sangkavasi",FALSE,0,0,0,0,0,"75558b90d6ec7e4e",69,82,12093,0,NA,NA,"#ignorantBHO how ignorant was he? His followers drank his Kool Aid everyday. When economy was bad, he blamed Bush. When oil spilled in the gulf, he played golf and screamed at BP to fix and would hold BP for damage while millions of oil spilling instead of helping resolve! Sigh!!"
"4","The ship sails tomorrow at midnight to conduct research as part of the DEEPEND consortium, which characterizes ecosystems, determines genetic diversity and predicts consequences from the Deepwater Horizon Oil Spill to bio communities in the deep sea. . http   deependconsortium org index php about mission","1019252635327705088","143476735","143476735","everyone",FALSE,"en",2018-07-17 16:09:00,"1019252637001273345",FALSE,"St. Petersburg, Florida","https://pbs.twimg.com/profile_images/1620822877032583168/Gkd00RLr_normal.jpg","usfsp","Situated on 52 acres of waterfront in downtown St. Petersburg, our campus offers an intimate academic experience with all the benefits of a large institution.","2010-05-13T15:32:28.000Z","USF St. Petersburg campus",FALSE,4,0,4,0,0,"5d231ed8656fcf5a",3325,242,4620,60,"https://t.co/U8V9paOPAt",NA,"The ship sails tomorrow at midnight to conduct research as part of the DEEPEND consortium, which characterizes ecosystems, determines genetic diversity and predicts consequences from the Deepwater Horizon Oil Spill to bio communities in the deep sea. https://t.co/eQ5BqVVxQl"
"5","Unlike other leader in a diff time. When million gal of oil leaking to gulf, BP got no help from Gov other than threats from DOJ n WH while they played golf. When Sandy beating up the NJ shore, Christy did not get aid til he kissed his ass. It was the disgraced 1/2 Human Potus.. ","1039499115154104320","778355924","778355924","everyone",FALSE,"en",2018-09-11 13:10:18,"1039501385740509184",FALSE,"Treasure Island, FL","https://pbs.twimg.com/profile_images/2670250529/f7bd106f59dc6866310d9c8983be8666_normal.jpeg","sangkavasis","Embrace friends and family who make you happy and become better. Stay away from things and angry people who make you down and upset. Never forget your root.","2012-08-24T14:59:45.000Z","Sans Sangkavasi",FALSE,1,0,1,0,0,"75558b90d6ec7e4e",69,82,12093,0,NA,NA,"Unlike other leader in a diff time. When million gal of oil leaking to gulf, BP got no help from Gov other than threats from DOJ n WH while they played golf. When Sandy beating up the NJ shore, Christy did not get aid til he kissed his ass. It was the disgraced 1/2 Human Potus."
"6","Patrick Schwing from @USFCMS telling us about the Deepwater Horizon oil spill. Did you know it snows in the ocean? Except the snow is made up of dead organisms and sea “snot”! The oil spill led to a huge increase in marine snow which buried organisms living on the bottom. #DWH . https   twitter com tasteofsciTPA status 1122523092801265665 photo 1","1122523092801265665",NA,"785828066194956288","everyone",FALSE,"en",2019-04-28 15:28:55,"1122523092801265665",FALSE,"Tampa Bay, FL","https://pbs.twimg.com/profile_images/1045069427241357312/D5k5CSLv_normal.jpg","tasteofsciTPA","Inspiring scientists share their work with you in your favorite spaces and now virtually!","2016-10-11T13:03:05.000Z","taste of science Tampa Bay",FALSE,3,0,4,0,0,"07d9e086f3080002",240,110,349,10,"https://t.co/WfPdwUuQbF",NA,"Patrick Schwing from @USFCMS telling us about the Deepwater Horizon oil spill. Did you know it snows in the ocean? Except the snow is made up of dead organisms and sea “snot”! The oil spill led to a huge increase in marine snow which buried organisms living on the bottom. #DWH https://t.co/n4EBkMTVVn"
"7","2 grants for the expansion of @GulfCounty23 workforce programs get preliminary approval from Triumph Gulf Coast, the organization that disburses money from the settlement over the Deepwater Horizon oil spill. @volusiaschools @VolusiaCTE #3MOMS . https   www starfl com news 20190627 triumph moves school projects ahead","1144567139979923459",NA,"1488474768","everyone",FALSE,"en",2019-06-28 11:24:05,"1144567139979923459",FALSE,"Port Orange, FL","https://pbs.twimg.com/profile_images/1615308782136971264/AzzFEqyx_normal.jpg","kashort5","Wife, Mom, Sub. Teacher, Ed. Surrogate, Mentor, M4L Vol. Treasurer, VCCPTA Treasurer & Leg. Chair, AFRW Asst. Treas., MHS DAC Rep., Simon’s Angels Board Member","2013-06-06T19:12:12.000Z","Kim Short",FALSE,0,1,1,0,0,"26b27cadf61e2e58",1225,3231,7957,3,"https://t.co/AH5yLAP3uE","1623797994477740032","2 grants for the expansion of @GulfCounty23 workforce programs get preliminary approval from Triumph Gulf Coast, the organization that disburses money from the settlement over the Deepwater Horizon oil spill. @volusiaschools @VolusiaCTE #3MOMS https://t.co/Ard8E54WIy"
"8","Wewahitchka Jr./Sr. High School would get $250,000 for the welding program and $125,000 for agriscience curriculum.","1144567139979923459","1488474768","1488474768","everyone",FALSE,"en",2019-06-28 11:24:34,"1144567258766872577",FALSE,"Port Orange, FL","https://pbs.twimg.com/profile_images/1615308782136971264/AzzFEqyx_normal.jpg","kashort5","Wife, Mom, Sub. Teacher, Ed. Surrogate, Mentor, M4L Vol. Treasurer, VCCPTA Treasurer & Leg. Chair, AFRW Asst. Treas., MHS DAC Rep., Simon’s Angels Board Member","2013-06-06T19:12:12.000Z","Kim Short",FALSE,0,0,1,0,0,"26b27cadf61e2e58",1230,3234,7958,3,"https://t.co/AH5yLAP3uE","1623797994477740032",NA
"9","@girlgeek_rva @Acyn That is almost literally how we finally got the Biggert-Waters flood insurance reform in 2012. It was attached to the same transportation bill that included the RESTORE Act, doling out funds to the Gulf Coast states from the BP oil spill. Mary Landrieu had a conniption over it. ","1469839081861353474","36099083","16215776","everyone",FALSE,"en",2021-12-12 22:37:38,"1470160946647769092",FALSE,"St Petersburg, FL","https://pbs.twimg.com/profile_images/1618263124573917184/Okp-I3rk_normal.jpg","raylehmann","R.J. Lehmann is Editor-in-Chief of @LawEconCenter. Cofounder of @RSI. Newark native. Portuguese citizen. Syracuse Newhouse/Maxwell alum. I know insurance stuff.","2008-09-10T02:59:31.000Z","R.J. Lehmann",FALSE,0,0,3,0,0,"5d231ed8656fcf5a",3416,872,38904,77,"https://t.co/BcuOR317hu",NA,"@girlgeek_rva @Acyn That is almost literally how we finally got the Biggert-Waters flood insurance reform in 2012. It was attached to the same transportation bill that included the RESTORE Act, doling out funds to the Gulf Coast states from the BP oil spill. Mary Landrieu had a conniption over it"
"10","@crochetjenny 😡 I don't think we can find enough oil on land, we don't need to destroy beaches with oil spills oceans with oil spills look at what happened with the horizon, and the cover-ups, and there's still problems with that today we just don't talk about it. ","1579747661577871360","2610170287","1530271977964961795","everyone",FALSE,"en",2022-10-11 13:49:41,"1579831608344862720",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1589930674491953153/_tk7ekji_normal.jpg","ThefommyFommy","Patriot father of one I'm just here to gain knowledge meet a few good people make you laugh make you blush and hear the truth IF you're not real go away!!!","2022-05-27T19:38:23.000Z","Fommy",FALSE,0,0,0,0,0,"5d231ed8656fcf5a",1667,2128,12206,0,NA,NA,"@crochetjenny 😡 I don't think we can find enough oil on land, we don't need to destroy beaches with oil spills oceans with oil spills look at what happened with the horizon, and the cover-ups, and there's still problems with that today we just don't talk about it"
"11","@LeAnnCCW1 I've seen PODS of dolphins and whales do this before but never that many, our oceans are so polluted from toxins this is insane this is sad, we could use part of that $700 billion dollars to clean up our oceans the Gulf of Mexico from the oil spill still going . ","1579918074165485568","1518753073656737793","1530271977964961795","everyone",FALSE,"en",2022-10-11 19:50:51,"1579922496132100096",FALSE,"Florida, USA","https://pbs.twimg.com/profile_images/1589930674491953153/_tk7ekji_normal.jpg","ThefommyFommy","Patriot father of one I'm just here to gain knowledge meet a few good people make you laugh make you blush and hear the truth IF you're not real go away!!!","2022-05-27T19:38:23.000Z","Fommy",FALSE,1,1,1,0,0,"5d231ed8656fcf5a",1667,2128,12206,0,NA,NA,"@LeAnnCCW1 I've seen PODS of dolphins and whales do this before but never that many, our oceans are so polluted from toxins this is insane this is sad, we could use part of that $700 billion dollars to clean up our oceans the Gulf of Mexico from the oil spill still going https://t.co/nvE2ctix03"
