"","text","possibly_sensitive","conversation_id","id","author_id","created_at.x","lang","reply_settings","created_at.y","pinned_tweet_id","description","name","protected","location","username","profile_image_url","verified","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","url","in_reply_to_user_id","text_with_display_links"
"1","At least 1,000 gallons of oil spill into N. Carolina river  via @nypost. ",FALSE,"961429039088054274","961429039088054274","27418666",2018-02-08 02:38:40,"en","everyone","2009-03-29T12:45:22.000Z","1585581682228355072","An award winning marketing/pr & advertising agency working in partnership with clients to deliver strategic results.","Robin  Delgado",FALSE,"jefferson, north carolina","robindel","https://pbs.twimg.com/profile_images/481018923509219328/P2j9iVtI_normal.jpeg",FALSE,0,0,0,0,0,"dc62519fda13b4ec",823,1542,5013,20,NA,NA,"At least 1,000 gallons of oil spill into N. Carolina river https://t.co/zZ7uVOjRUH via @nypost"
"2","@EnergyTomorrow @pnj @MicaFPC More like we don't like or need another oil spill. We don't want to see our beautiful beaches destroyed. We don't want to see our wildlife killed just so you can get more money! 😡😡😡 Solar and wind energy is best for the planet and humanity!. ",FALSE,"963798484615868416","965119754355838976","829468202480594944",2018-02-18 07:04:15,"en","everyone","2017-02-08T23:13:25.000Z","948383358622543874","Wife, mother, grandmother, disabled veteran, beader. United we stand, divided we fall. #ImpeachTrump","Angry Veteran",FALSE,"Florida, USA","thebeadingnana","https://pbs.twimg.com/profile_images/1020463036539260929/JayQ5zzt_normal.jpg",FALSE,1,2,5,0,0,"dc62519fda13b4ec",3534,3729,110558,11,NA,"15646547","@EnergyTomorrow @pnj @MicaFPC More like we don't like or need another oil spill. We don't want to see our beautiful beaches destroyed. We don't want to see our wildlife killed just so you can get more money! 😡😡😡 Solar and wind energy is best for the planet and humanity!"
"3","#MyFirstResearchProject was looking to see if the BP oil spill deformed #foraminifera in the Gulf Coast- so small I had to pick them out with a paintbrush! 7 years later, I swear I can still see those tiny little critters everywhere I look.... ",FALSE,"985335997541044224","985335997541044224","702500321772359680",2018-04-15 01:56:23,"en","everyone","2016-02-24T14:28:23.000Z","1266836955809153025","Assistant professor of paleobiology, focusing on the evolution of the early echinoderms. Black Lives Matter. Opinions mine. she/hers","Dr. Sarah Sheffield",FALSE,"Florida, USA","sarahlsheffield","https://pbs.twimg.com/profile_images/702545086933028865/zOQnSvn9_normal.jpg",FALSE,0,0,8,0,0,"074d5ce471c43508",3873,1881,13366,38,"https://t.co/6MSPoE5liV",NA,"#MyFirstResearchProject was looking to see if the BP oil spill deformed #foraminifera in the Gulf Coast- so small I had to pick them out with a paintbrush! 7 years later, I swear I can still see those tiny little critters everywhere I look..."
"4","@MykeCole @zacvegan Or maybe cause we spend 10 billion dollars a day and protecting the Gulf of Mexico from oil spills helped put a big dent in our economy when countries such as Mexico don’t really do shit about it.. ",FALSE,"1009836010396684289","1010226167301976064","921963901947916288",2018-06-22 18:21:02,"en","everyone","2017-10-22T04:58:18.000Z",NA,"gun, and if that don't work? use more gun.","Tyler ""m00se"" Kruse",FALSE,"No","Tyler_aka_m00se","https://pbs.twimg.com/profile_images/979764478857195520/n9xkwWqO_normal.jpg",FALSE,0,0,0,0,0,"dc62519fda13b4ec",29,0,3696,0,"https://t.co/gEtdZPDhYe","206631462","@MykeCole @zacvegan Or maybe cause we spend 10 billion dollars a day and protecting the Gulf of Mexico from oil spills helped put a big dent in our economy when countries such as Mexico don’t really do shit about it."
"5","Deepwater Horizon oil spill didn’t really hurt Florida, pro-drilling leaders say  Jeff Kottkamp is leading the group seeking sights in the eastern Gulf of Mexico.. ",FALSE,"1034131726287745026","1034131726287745026","705467685417701376",2018-08-27 17:33:11,"en","everyone","2016-03-03T18:59:38.000Z",NA,"Art Arts & Culture Black Community Fitness & Wellness Government & Politics Indie/Experimental Journalists & Pundits Literature Music News Opinion Space Travel","Tom Cleary",FALSE,"Tampa, FL","Cesare1210Tom","https://pbs.twimg.com/profile_images/760264178053554179/FonWv3u5_normal.jpg",FALSE,0,0,0,0,0,"dc62519fda13b4ec",551,1446,8409,22,NA,NA,"Deepwater Horizon oil spill didn’t really hurt Florida, pro-drilling leaders say https://t.co/yAMB2rR9vw Jeff Kottkamp is leading the group seeking sights in the eastern Gulf of Mexico."
"6","@Chris_Levesque_ Look how well current environmental regulations are working for ""responsible offshore development.""

 . https   www washingtonpost com national health science a 14 year long oil spill in the gulf of mexico verges on becoming one of the worst in us history 2018 10 20 f9a66fd0 9045 11e8 bcd5 9d911c784c38_story html. https   twitter com AmeriHephaestus status 1054717513060282368 photo 1",FALSE,"1054714138314723328","1054717513060282368","2149760912",2018-10-23 12:53:45,"en","everyone","2013-10-22T21:41:54.000Z",NA,"“The crisis consists precisely in the fact that the old is dying and the new cannot be born; in this interregnum a great variety of morbid symptoms appear.”","Hephaestus",FALSE,"Tampa Bay","AmeriHephaestus","https://pbs.twimg.com/profile_images/937258553240272896/-41yw-7E_normal.jpg",FALSE,1,0,0,1,0,"dc62519fda13b4ec",382,963,21841,2,NA,"157037473","@Chris_Levesque_ Look how well current environmental regulations are working for ""responsible offshore development.""

https://t.co/FMceAumgE8 https://t.co/PN2uM2cVY0"
"7","Reduce, reuse, and recycle, kids!
(Feat. The (dying) Great Barrier Reef, Oil Spill, The Red Tide, Melting glacier, and plastic) 
#artspowernugget #PSA #reducereuserecycle @ Cypress Beach . https   www instagram com p BppvZjGn96x",FALSE,"1058103195443101702","1058103195443101702","112927402",2018-11-01 21:07:15,"en","everyone","2010-02-10T04:28:07.000Z",NA,"singer/songwriter/painter • she/her","Stefanie Sambrano",FALSE,"New York, NY","stef_samb","https://pbs.twimg.com/profile_images/1577852613831319552/cPWoQSiP_normal.jpg",FALSE,0,0,0,0,0,"dc62519fda13b4ec",403,310,19672,4,"https://t.co/uqVqJTJ5Op",NA,"Reduce, reuse, and recycle, kids!
(Feat. The (dying) Great Barrier Reef, Oil Spill, The Red Tide, Melting glacier, and plastic) 
#artspowernugget #PSA #reducereuserecycle @ Cypress Beach https://t.co/tZvYmKBDHK"
"8","@TeaPainUSA He was the first congressman to apologize to Exxon for the gulf oil spill. He is worthless. ",FALSE,"1094248772371128321","1094279542015963142","2730019983",2019-02-09 16:59:08,"en","everyone","2014-07-31T17:14:16.000Z",NA,"person of interest","Monica Willard",FALSE,"Tampa, FL","mwillardme","https://pbs.twimg.com/profile_images/880911051545595904/74l4Ch-j_normal.jpg",FALSE,0,0,0,0,0,"9e27ffe7ca397c0a",143,767,21766,0,NA,"2421067430","@TeaPainUSA He was the first congressman to apologize to Exxon for the gulf oil spill. He is worthless"
"9","Rita Colwell opening the final GoMRI Gulf of Mexico Oil Spill &amp; Ecosystem Science Conference #GOMOSES2020 . https   twitter com demutsertlab status 1224704229408940034 photo 1",FALSE,"1224704229408940034","1224704229408940034","4860725172",2020-02-04 14:40:16,"en","everyone","2016-02-04T21:24:49.000Z","1491776891577159684","Asst Professor, Division of Coastal Sciences, School of Ocean Science and Engineering, USM | Fish Ecologist | Modeler","Kim de Mutsert",FALSE,"Ocean Springs, MS","demutsertlab","https://pbs.twimg.com/profile_images/1346227120700334085/gBU5cPan_normal.jpg",FALSE,0,2,0,0,0,"dc62519fda13b4ec",485,422,595,2,"https://t.co/IWu3qIcwnb",NA,"Rita Colwell opening the final GoMRI Gulf of Mexico Oil Spill &amp; Ecosystem Science Conference #GOMOSES2020 https://t.co/g9fxfdf4rV"
"10","#GOMOSES",FALSE,"1224704229408940034","1224734483225686016","4860725172",2020-02-04 16:40:29,"qht","everyone","2016-02-04T21:24:49.000Z","1491776891577159684","Asst Professor, Division of Coastal Sciences, School of Ocean Science and Engineering, USM | Fish Ecologist | Modeler","Kim de Mutsert",FALSE,"Ocean Springs, MS","demutsertlab","https://pbs.twimg.com/profile_images/1346227120700334085/gBU5cPan_normal.jpg",FALSE,0,0,0,0,0,"dc62519fda13b4ec",485,422,595,2,"https://t.co/IWu3qIcwnb","4860725172",NA
"11","@demutsertlab And these are supposed to be good things?",FALSE,"1224704229408940034","1224792448326651904","277553942",2020-02-04 20:30:49,"en","everyone","2011-04-05T16:09:02.000Z",NA,"Ocean scientist. @UMCES president emeritus. Focused on limiting climate change and Gulf of Mexico & Chesapeake Bay ecosystems.","Don Boesch 🇺🇦",FALSE,"Annapolis, MD","DonBoesch","https://pbs.twimg.com/profile_images/1526911444142510082/6l2RYo2P_normal.jpg",FALSE,0,0,0,0,0,NA,2976,1014,19165,149,"https://t.co/oKA1wR5TEX","4860725172",NA
"12","10 years ago today the Gulf of Mexico oil spill happened and the oil was just starting to hit Florida. ",FALSE,"1270702356699713537","1270702356699713537","379570122",2020-06-10 13:00:25,"en","everyone","2011-09-25T05:40:18.000Z","1304804897397841923","Festival Father™️ • GRiZ Liberator • I’m just here for nasty bass and vibes ✌🏼","The GRiZ Father",FALSE,"Tampa, FL","MikeBrolumbus13","https://pbs.twimg.com/profile_images/1399861032252760064/u9O4N2yf_normal.jpg",FALSE,0,0,10,0,0,"6d4de57fa00a913f",2688,2752,23004,8,"https://t.co/YFaYJltT6c",NA,"10 years ago today the Gulf of Mexico oil spill happened and the oil was just starting to hit Florida"
"13","@JoeBiden u had it made for 8 f years! MSM looked the way at Deep Water Horizon, I mean do u think u did a good job on that? NO F ING WAY! U guys stared at each other while 200 MILL GALLONS OF OIL SPILLED IN THE GULF! How about Benghazi? Or Fast and Furious? Uh BTW PEOPLE DIED!. ",FALSE,"1286460057715187713","1286460057715187713","731301629316743168",2020-07-24 00:35:53,"en","everyone","2016-05-14T01:54:30.000Z",NA,"","JThed",FALSE,NA,"chief_224","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,0,0,0,0,0,"dc62519fda13b4ec",51,69,29010,1,NA,"939091","@JoeBiden u had it made for 8 f years! MSM looked the way at Deep Water Horizon, I mean do u think u did a good job on that? NO F ING WAY! U guys stared at each other while 200 MILL GALLONS OF OIL SPILLED IN THE GULF! How about Benghazi? Or Fast and Furious? Uh BTW PEOPLE DIED!"
"14","Hey @JoeBiden Drink clean water, breath clean air? WTF did u &amp; Obama do for wildfires in California during 8 yrs?How about the oil spill in the gulf? U &amp; OBAMA stared at each other while thousands of fish &amp; wildlife died! U two did NOTHING for 8 yrs BUT LINE YOUR POCKETS W $ . ",FALSE,"1306075845317079043","1306075845317079043","731301629316743168",2020-09-16 03:42:01,"en","everyone","2016-05-14T01:54:30.000Z",NA,"","JThed",FALSE,NA,"chief_224","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png",FALSE,0,0,0,0,0,"dc62519fda13b4ec",51,69,29010,1,NA,NA,"Hey @JoeBiden Drink clean water, breath clean air? WTF did u &amp; Obama do for wildfires in California during 8 yrs?How about the oil spill in the gulf? U &amp; OBAMA stared at each other while thousands of fish &amp; wildlife died! U two did NOTHING for 8 yrs BUT LINE YOUR POCKETS W $ https://t.co/kHAC8db8Od"
"15","Christian Bros. Auto - Faith based company. 2008 Nissan Pathfinder had oil leak- charged me $3400 to replace sensors in engine &amp; fix oil leak. Drove to beach &amp; checked oil dipstick &amp; was empty! Ruined engine!! Told me I need a new $8000 engine!! refund $490!! #integrity #Honesty. ",FALSE,"1387812963063672833","1387812963063672833","1267206417842307073",2021-04-29 16:56:09,"en","everyone","2020-05-31T21:29:14.000Z",NA,"@DavidJoffe: VP of Sales, MEDSEARCH, #TalentMeetsOpportunity, Unicorn Hunter🦄, helping people make wise decisions for career & Family, #Guru","David Joffe",FALSE,"Tampa, FL","DavidJoffe7","https://pbs.twimg.com/profile_images/1267206715612725250/bewsGncP_normal.jpg",FALSE,0,0,0,0,0,"76d195c1204e61b2",1,9,2,0,"https://t.co/u5FowTwLlh",NA,"Christian Bros. Auto - Faith based company. 2008 Nissan Pathfinder had oil leak- charged me $3400 to replace sensors in engine &amp; fix oil leak. Drove to beach &amp; checked oil dipstick &amp; was empty! Ruined engine!! Told me I need a new $8000 engine!! refund $490!! #integrity #Honesty"
"16","""Photos from California's oil spill show tarred shorelines, closed beaches, and fish and birds navigating rainbow oil slicks""  . ",FALSE,"1445448487039033354","1445448487039033354","1561627158",2021-10-05 17:59:09,"en","everyone","2013-07-01T22:54:29.000Z","998209568529375232","Oglala Sioux, Christian, USAF, SCI-Fi, Star Wars, Star Trek, She Hulk, House of the Dragon, Rings of Power,","ʕ•ᴥ•ʔ Tω⊕ωïηds꧂ღ╭⊱♥≺",FALSE,"1 Corinthians 13:1-13","DaveStarDancer","https://pbs.twimg.com/profile_images/1254454651941945347/w9iljIsJ_normal.jpg",FALSE,0,0,0,0,0,"553011a282a18fb5",2625,4176,73225,82,NA,NA,"""Photos from California's oil spill show tarred shorelines, closed beaches, and fish and birds navigating rainbow oil slicks""  https://t.co/CbkNNyhhQB"
